"SP","Format","Param","Method","Estimate","Sd_2.5","Sd_97.5","Migr"
"Cjuli","Mu_Fa","M12","Neural network",18.9762794314188,15.5141996553055,22.5129947245984,"Beta"
"Cjuli","Mu_Fa","M12","Random forest",19.3503486026667,15.643473,22.783102,"Beta"
"Cjuli","Mu_Fa","shape_M12_a","Neural network",0.532103114906549,0.417352130703784,0.654806477771222,"Beta"
"Cjuli","Mu_Fa","shape_M12_a","Random forest",0.532988050666667,0.418607096774194,0.662846534653465,"Beta"
"Cjuli","Mu_Fa","shape_M12_b","Neural network",0.562004754965638,0.457300355955873,0.6701527531134,"Beta"
"Cjuli","Mu_Fa","shape_M12_b","Random forest",0.563671208666667,0.433647722222222,0.69244625,"Beta"
"Cjuli","Mu_Fa","M21","Neural network",5.16924556858646,4.47270252374174,5.86595295138703,"Beta"
"Cjuli","Mu_Fa","M21","Random forest",5.13949980516667,4.00201794871795,6.37242264705882,"Beta"
"Cjuli","Mu_Fa","shape_M21_a","Neural network",0.822300678084652,0.629530740753069,1.01558087353823,"Beta"
"Cjuli","Mu_Fa","shape_M21_a","Random forest",0.825307861833333,0.612331333333333,1.0270961393597,"Beta"
"Cjuli","Mu_Fa","shape_M21_b","Neural network",3.33444286420488,2.69488007604121,3.98659861390648,"Beta"
"Cjuli","Mu_Fa","shape_M21_b","Random forest",3.36681740683333,2.5862325,4.13040331210191,"Beta"
"Cjuli","Li_Ga","N1","Neural network",548562.822518672,496116.094570575,607999.957523621,"Beta"
"Cjuli","Li_Ga","N1","Random forest",486090.6525,393549.833333333,595898,"Beta"
"Cjuli","Li_Ga","N2","Neural network",889867.987478802,815387.976307023,980500.991972227,"Beta"
"Cjuli","Li_Ga","N2","Random forest",787303.897583333,632916.180257511,947884.391025641,"Beta"
"Cjuli","Li_Ga","Na","Neural network",440220.769266772,386292.010199077,493976.144383032,"Beta"
"Cjuli","Li_Ga","Na","Random forest",458573.736416667,394043.333333333,518660.25,"Beta"
"Cjuli","Li_Ga","shape_N_a","Neural network",4.50674479938686,3.68069696518505,5.39359870168616,"Beta"
"Cjuli","Li_Ga","shape_N_a","Random forest",4.58598439333333,3.60363534482759,5.58638666666667,"Beta"
"Cjuli","Li_Ga","shape_N_b","Neural network",5.0147019778673,4.17174500375501,5.87994968427834,"Beta"
"Cjuli","Li_Ga","shape_N_b","Random forest",5.03540686666667,3.83394,6.24309936170213,"Beta"
"Cjuli","Li_Ga","Tsplit","Neural network",1513292.47920779,1382167.01868392,1631183.11507917,"Beta"
"Cjuli","Li_Ga","Tsplit","Random forest",1359640.062,1171712.78688525,1550293.92405063,"Beta"
"Cjuli","Li_Ga","Tsc","Neural network",124407.485990875,109173.112865689,140427.910682676,"Beta"
"Cjuli","Li_Ga","Tsc","Random forest",126905.804666667,99020,152678.666666667,"Beta"
"Cjuli","Li_Ga","M12","Neural network",10.4672385505062,8.94917518887262,11.9588837189178,"Beta"
"Cjuli","Li_Ga","M12","Random forest",10.4707268388333,8.20296725925926,12.525264,"Beta"
"Cjuli","Li_Ga","shape_M12_a","Neural network",0.635833459304943,0.523144036139269,0.749698350729447,"Beta"
"Cjuli","Li_Ga","shape_M12_a","Random forest",0.630314461333333,0.489149166666667,0.760835,"Beta"
"Cjuli","Li_Ga","shape_M12_b","Neural network",3.81753710061836,3.11123798632704,4.50776682006276,"Beta"
"Cjuli","Li_Ga","shape_M12_b","Random forest",3.78410478033333,2.81561694444444,4.71252737704918,"Beta"
"Cjuli","Li_Ga","M21","Neural network",10.2876165393732,8.32791572962009,12.2536297099102,"Beta"
"Cjuli","Li_Ga","M21","Random forest",10.2599124483333,7.883936,12.587153,"Beta"
"Cjuli","Li_Ga","shape_M21_a","Neural network",0.0872030061599367,0.0708270218935678,0.103511185236636,"Beta"
"Cjuli","Li_Ga","shape_M21_a","Random forest",0.0875054825,0.0645788888888889,0.108719487179487,"Beta"
"Cjuli","Li_Ga","shape_M21_b","Neural network",2.80738891877733,2.15395030855611,3.43820886959185,"Beta"
"Cjuli","Li_Ga","shape_M21_b","Random forest",2.8332059265,2.18192666666667,3.66314,"Beta"
